path	label
37.jpg	Сарыколь
370.jpg	терзали жизнь мою
371.jpg	Мангистауская
372.jpg	КЫЗЫЛОРДИНСКАЯ
373.jpg	Украина
374.jpg	Но волчат не тронул,
375.jpg	Семей
376.jpg	Украина
377.jpg	Завтра к милой
378.jpg	Таджикистан
379.jpg	Семей
38.jpg	Астана
380.jpg	Украина
381.jpg	Опять, как
382.jpg	В котором
383.jpg	ЖАМБЫЛЬСКАЯ
384.jpg	Не знаю, где приют
385.jpg	Как памятники
386.jpg	Кульсары
387.jpg	Павлодар
388.jpg	обгоняет.
389.jpg	Каскелен
39.jpg	Республика
390.jpg	Туркестан
391.jpg	Где выл пожар
392.jpg	Жамбылская
393.jpg	луна,
394.jpg	из него
395.jpg	Как раздался, так
396.jpg	Взывали к мщенью
397.jpg	Ты в синий плащ
398.jpg	обнимает,
399.jpg	люди,
4.jpg	Лугами катятся
40.jpg	Уральск
400.jpg	В отдельности,
401.jpg	Таджикистан
402.jpg	Актюбинская
403.jpg	Казахстан
404.jpg	Не вместе
405.jpg	корок.
406.jpg	Тараз
407.jpg	Опять стога,
408.jpg	Павлодар
409.jpg	Украйна
41.jpg	Ушарал
410.jpg	Зайсан
411.jpg	Завтра, Нина,
412.jpg	я со стола.
413.jpg	Павлодарская
414.jpg	всё мимо, мимо.
415.jpg	ШыМкент
416.jpg	Уштобе
417.jpg	бессмертными стихами?
418.jpg	Алматинская
419.jpg	Я здесь
42.jpg	Киевка
420.jpg	ТАДЖИКИСТАН
421.jpg	Пока хорошая
422.jpg	твой синий,
423.jpg	перехваченного плыла
424.jpg	Чем свет телега
425.jpg	скоро ли,
426.jpg	АТЫРАУ
427.jpg	я со стола,
428.jpg	И жизнь поболее,
429.jpg	к маме, жадно пили
43.jpg	все мимо, мимо
430.jpg	бы летать
431.jpg	Сстрана
432.jpg	И мы ломаем руки,
433.jpg	мирный трактор,
434.jpg	луна
435.jpg	благоухает сад,
436.jpg	Семей
437.jpg	Мангистауская
438.jpg	Южно-Казахстанская
439.jpg	Карагандинская
44.jpg	безотрадный,
440.jpg	Актобе
441.jpg	Сперва измучившись
442.jpg	Как памятники
443.jpg	и ты ушла из дому.
444.jpg	сейчас надо мной?
445.jpg	Тараз
446.jpg	Ой,
447.jpg	ТУРКЕСТАНСКАЯ
448.jpg	Затоболык
449.jpg	Кызылорда
45.jpg	от
450.jpg	То разгулье удалое
451.jpg	луна,
452.jpg	не испытал,
453.jpg	прекрасное лицо
454.jpg	Теперь мне сорок
455.jpg	Так век
456.jpg	Отеген батыра
457.jpg	но опять
458.jpg	Актобе
459.jpg	меч их висит
46.jpg	новых городов.
460.jpg	прекрасное лицо
461.jpg	нам насладиться.
462.jpg	помнящих вопли гунна
463.jpg	Астана
464.jpg	Атырау
465.jpg	Астана
466.jpg	джигит
467.jpg	Кричит наш дух,
468.jpg	Земля душиста
469.jpg	ворошат корма
47.jpg	Алматы
470.jpg	Белоруссия
471.jpg	Взывали к мщенью
472.jpg	надевал на себя что
473.jpg	Их забвенный
474.jpg	и щитом
475.jpg	Республика
476.jpg	Область
477.jpg	И одну лишь
478.jpg	Атырау
479.jpg	влюбленное вино
48.jpg	помнящих вопли гунна
480.jpg	срок
481.jpg	Костанай
482.jpg	зарослях полыни
483.jpg	Что время лечит
484.jpg	Вид постоялого
485.jpg	что меня вскормила
486.jpg	Жанатас
487.jpg	Верней, волчицу
488.jpg	Восточно-Казахстанская
489.jpg	Костанай
49.jpg	Акмолинская
490.jpg	Таджикистан
491.jpg	Акмолинская
492.jpg	зарослях полыни,
493.jpg	Белоруссия
494.jpg	Ребят уже не
495.jpg	Украина
496.jpg	Сарань
497.jpg	Поцелуй
498.jpg	не лицемерить
499.jpg	как облака,
5.jpg	но ты не снизошла.
50.jpg	Северно-Казахстанская
500.jpg	джигит!
51.jpg	Откинув лапы
52.jpg	всё мимо, мимго.
53.jpg	Текели
54.jpg	Павлодар
55.jpg	На древней стене
56.jpg	опять
57.jpg	АБХАЗИЯ
58.jpg	Петропавлоск
59.jpg	Северно-Казахстанская
6.jpg	Щучинск
60.jpg	всё мимо, мимо.
61.jpg	Белоруссия
62.jpg	Молдавия
63.jpg	В котором
64.jpg	пред аналоем,
65.jpg	Сарканд
66.jpg	Они, толкаясь
67.jpg	мне снится
68.jpg	почуя на плечах
69.jpg	Твое лицо в его
7.jpg	Злые
70.jpg	хладный
71.jpg	и оскалив пасть
72.jpg	Алматы
73.jpg	Актобе
74.jpg	Южная Осетия
75.jpg	казахстан
76.jpg	святых видений
77.jpg	Западно-Казахстанская
78.jpg	Актобе
79.jpg	свободу любить?
8.jpg	АЛМАТЫ
80.jpg	Каркаралинск
81.jpg	Кандыагаш
82.jpg	ШЫМКЕНТ
83.jpg	Алматинская
84.jpg	Актобе
85.jpg	И по сводам бы
86.jpg	иногда
87.jpg	Туркестан
88.jpg	и неземной покой,
89.jpg	моеи лежит,
9.jpg	вновь синеют
90.jpg	Текели
91.jpg	И арфы шотландской
92.jpg	ныло от разлуки,-
93.jpg	И звал
94.jpg	малые ошибки
95.jpg	Молдавия
96.jpg	где танк
97.jpg	С трухой и
98.jpg	Сергеевка
99.jpg	Жанатас
